Atributo_X,Atributo_Y,Atributo_Z,classe
6.45,2.63,1.17,A
1.35,2.71,0.04,B
0.23,2.04,0.64,B
0.94,4.80,1.45,A
4.57,3.25,0.45,B
8.82,2.83,0.50,A
3.82,4.76,0.70,A
6.83,1.32,0.89,B
1.80,2.28,0.42,B
5.58,4.31,0.06,B
1.49,2.54,1.11,B
7.34,3.21,0.20,B
7.53,3.33,1.01,A
0.74,3.80,0.94,B
7.99,1.08,0.24,B
0.21,0.49,1.37,B
2.73,2.40,1.27,B
6.21,0.82,1.80,A
0.65,1.71,0.71,B
2.76,4.50,0.44,B
3.06,0.25,1.45,B
8.64,3.92,0.74,A
9.63,2.69,0.07,A
4.70,3.06,1.59,A
9.38,2.05,0.02,B
0.56,2.16,0.22,B
7.41,3.52,1.18,A
3.77,1.63,1.50,B
2.77,1.96,0.19,B
6.32,3.33,1.99,A
8.50,4.87,0.09,A
5.75,4.19,1.66,A
9.44,4.00,0.73,A
9.77,1.35,1.96,A
7.70,1.04,0.78,B
7.80,1.32,1.64,A
8.88,0.02,1.05,B
4.76,1.91,1.70,A
2.28,3.29,0.48,B
3.22,1.45,1.82,A
3.17,0.70,1.76,B
3.62,3.58,1.44,A
1.90,3.30,1.04,B
5.56,3.19,1.58,A
5.34,2.04,1.99,A
9.22,0.94,0.52,B
7.42,0.38,0.53,B
2.66,2.76,1.29,B
1.17,3.89,0.61,B
3.58,0.50,1.19,B
2.67,2.09,1.47,B
1.49,3.90,0.90,B
8.67,4.85,0.22,A
3.86,2.63,1.49,A
1.74,0.30,0.31,B
1.70,4.91,0.68,B
7.54,0.31,1.67,A
6.92,2.55,0.16,B
9.64,4.26,1.80,A
6.17,4.87,0.76,A
2.52,2.64,1.71,A
5.01,3.59,0.48,B
2.50,0.65,1.01,B
9.87,2.32,0.26,A
1.21,1.01,0.38,B
4.91,4.02,1.35,A
0.15,2.79,1.47,B
8.52,1.25,0.49,B
9.32,1.07,0.19,B
